iter	Passed	Remaining
0	56	56545
1	60	30163
2	63	21244
3	67	16800
4	70	14125
5	74	12347
6	78	11071
7	81	10118
8	85	9373
9	88	8773
10	92	8286
11	95	7877
12	99	7522
13	102	7214
14	105	6931
15	109	6758
16	113	6552
17	116	6355
18	120	6205
19	124	6085
20	128	5974
21	131	5858
22	135	5736
23	138	5627
24	142	5562
25	146	5504
26	150	5417
27	153	5330
28	156	5255
29	160	5179
30	163	5112
31	166	5044
32	170	4985
33	173	4924
34	176	4868
35	179	4817
36	184	4803
37	187	4752
38	191	4711
39	195	4688
40	198	4649
41	202	4610
42	205	4572
43	208	4536
44	212	4504
45	215	4470
46	218	4438
47	222	4414
48	227	4418
49	231	4392
50	234	4366
51	238	4354
52	244	4365
53	248	4346
54	256	4404
55	259	4379
56	263	4352
57	266	4326
58	269	4303
59	272	4276
60	277	4267
61	280	4245
62	284	4224
63	287	4205
64	290	4183
65	294	4164
66	297	4145
67	303	4161
68	309	4171
69	312	4151
70	315	4133
71	319	4114
72	322	4097
73	326	4085
74	330	4070
75	333	4055
76	336	4036
77	340	4021
78	346	4040
79	352	4058
80	363	4124
81	373	4177
82	381	4213
83	390	4260
84	398	4289
85	408	4346
86	414	4354
87	423	4388
88	443	4536
89	451	4561
90	483	4833
91	501	4945
92	510	4980
93	517	4990
94	525	5008
95	533	5027
96	541	5044
97	549	5062
98	558	5081
99	574	5166
100	590	5256
101	608	5361
102	613	5339
103	642	5537
104	646	5507
105	674	5691
106	678	5659
107	683	5643
108	707	5783
109	717	5804
110	740	5926
111	747	5929
112	781	6131
113	802	6233
114	826	6358
115	850	6479
116	859	6486
117	865	6468
118	883	6543
119	888	6513
120	896	6509
121	911	6558
122	915	6527
123	939	6637
124	943	6604
125	950	6591
126	954	6564
127	965	6574
128	1008	6809
129	1012	6773
130	1015	6738
131	1042	6856
132	1054	6872
133	1066	6892
134	1079	6919
135	1086	6903
136	1093	6886
137	1096	6850
138	1100	6819
139	1103	6781
140	1107	6748
141	1111	6714
142	1116	6693
143	1124	6684
144	1129	6657
145	1135	6643
146	1153	6696
147	1168	6726
148	1179	6734
149	1190	6748
150	1194	6716
151	1198	6684
152	1201	6651
153	1204	6618
154	1208	6586
155	1211	6554
156	1217	6535
157	1220	6505
158	1226	6485
159	1229	6454
160	1232	6424
161	1235	6393
162	1239	6362
163	1242	6332
164	1245	6301
165	1249	6278
166	1252	6248
167	1256	6220
168	1259	6191
169	1263	6169
170	1266	6140
171	1273	6132
172	1277	6106
173	1280	6079
174	1288	6075
175	1293	6055
176	1299	6041
177	1305	6030
178	1312	6021
179	1326	6042
180	1329	6016
181	1332	5990
182	1342	5994
183	1347	5975
184	1352	5956
185	1356	5935
186	1360	5914
187	1365	5897
188	1368	5873
189	1373	5856
190	1380	5849
191	1392	5858
192	1397	5843
193	1407	5846
194	1416	5845
195	1422	5833
196	1426	5814
197	1436	5817
198	1455	5857
199	1469	5879
200	1474	5859
201	1482	5858
202	1486	5836
203	1491	5818
204	1494	5796
205	1503	5795
206	1510	5784
207	1513	5762
208	1516	5740
209	1520	5718
210	1523	5698
211	1528	5680
212	1531	5660
213	1535	5639
214	1539	5622
215	1543	5601
216	1546	5581
217	1550	5561
218	1553	5541
219	1557	5522
220	1564	5514
221	1571	5507
222	1576	5494
223	1580	5476
224	1587	5467
225	1594	5461
226	1599	5445
227	1605	5437
228	1611	5424
229	1615	5408
230	1623	5404
231	1633	5406
232	1643	5409
233	1655	5417
234	1664	5418
235	1672	5414
236	1685	5427
237	1704	5455
238	1714	5459
239	1721	5449
240	1734	5463
241	1740	5452
242	1755	5469
243	1760	5455
244	1764	5436
245	1767	5416
246	1770	5397
247	1773	5377
248	1776	5358
249	1779	5339
250	1782	5320
251	1786	5302
252	1789	5283
253	1792	5265
254	1795	5246
255	1799	5228
256	1802	5210
257	1806	5196
258	1818	5201
259	1821	5183
260	1828	5176
261	1835	5169
262	1838	5152
263	1841	5135
264	1846	5122
265	1850	5105
266	1856	5097
267	1875	5122
268	1883	5118
269	1896	5126
270	1907	5131
271	1915	5127
272	1924	5126
273	1937	5134
274	1948	5137
275	1958	5138
276	1966	5134
277	1974	5127
278	1986	5133
279	1994	5128
280	2004	5128
281	2021	5145
282	2024	5128
283	2032	5124
284	2041	5122
285	2046	5109
286	2050	5093
287	2057	5087
288	2063	5076
289	2067	5061
290	2070	5045
291	2074	5030
292	2077	5013
293	2081	4997
294	2084	4981
295	2090	4972
296	2098	4967
297	2101	4950
298	2112	4951
299	2119	4944
300	2122	4929
301	2130	4923
302	2137	4915
303	2140	4901
304	2145	4890
305	2151	4878
306	2154	4863
307	2159	4852
308	2166	4845
309	2171	4833
310	2176	4821
311	2180	4807
312	2186	4799
313	2199	4804
314	2205	4795
315	2210	4784
316	2213	4769
317	2218	4758
318	2222	4743
319	2227	4732
